Global Code,Global Name,Region Code,Region Name,Sub-region Code,Sub-region Name,Intermediate Region Code,Intermediate Region Name,Common Name,Official Name,Capital,Territory of,M49 Code,ISO-alpha3 Code,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed / Developing Countries
1,World,2,Africa,202,Sub-Saharan Africa,18,Southern Africa,Lesotho,Kingdom of Lesotho,Maseru,,426,LSO,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,18,Southern Africa,Namibia,Republic of Namibia,Windhoek,,516,NAM,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,18,Southern Africa,South Africa,Republic of South Africa,Cape Town,,710,ZAF,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Benin,Republic of Benin,Porto-Novo,,204,BEN,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Burkina Faso,Burkina Faso,Ouagadougou,,854,BFA,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Cabo Verde,Republic of Cabo Verde,Praia,,132,CPV,,,x,Developing
1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Côte d’Ivoire,Republic of Côte d'Ivoire,Yamoussoukro,,384,CIV,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Gambia,Republic of The Gambia,Banjul,,270,GMB,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Ghana,Republic of Ghana,Accra,,288,GHA,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Guinea,Republic of Guinea,Conakry,,324,GIN,x,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Guinea-Bissau,Republic of Guinea-Bissau,Bissau,,624,GNB,x,,x,Developing
1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Liberia,Republic of Liberia,Monrovia,,430,LBR,x,,,Developing
